antecedents,consequents,support,confidence,lift,leverage,conviction
"P00480, P00216","P00383, P00270",0.21491332225124674,1.0,4.653038674033149,0.16872558617017852,inf
"P00216, P00270","P00480, P00383",0.21491332225124674,1.0,4.653038674033149,0.16872558617017852,inf
"P00480, P00383","P00216, P00270",0.21491332225124674,1.0,4.653038674033149,0.16872558617017852,inf
"P00383, P00270","P00480, P00216",0.21491332225124674,1.0,4.653038674033149,0.16872558617017852,inf
"P00383, P00270",P00216,0.21491332225124674,1.0,4.567245119305857,0.16785797123826895,inf
"P00480, P00216",P00270,0.21491332225124674,1.0,4.567245119305857,0.16785797123826895,inf
"P00480, P00383",P00216,0.21491332225124674,1.0,4.567245119305857,0.16785797123826895,inf
"P00383, P00480",P00270,0.21491332225124674,1.0,4.567245119305857,0.16785797123826895,inf
"P00383, P00480, P00216",P00270,0.21491332225124674,1.0,4.567245119305857,0.16785797123826895,inf
"P00480, P00383, P00270",P00216,0.21491332225124674,1.0,4.567245119305857,0.16785797123826895,inf
"P00216, P00270",P00480,0.21491332225124674,1.0,4.557359307359308,0.16775589889333842,inf
"P00383, P00270",P00480,0.21491332225124674,1.0,4.557359307359308,0.16775589889333842,inf
"P00383, P00216, P00270",P00480,0.21491332225124674,1.0,4.557359307359308,0.16775589889333842,inf
"P00216, P00270",P00383,0.21491332225124674,1.0,4.552432432432433,0.16770486272087315,inf
"P00480, P00216",P00383,0.21491332225124674,1.0,4.552432432432433,0.16770486272087315,inf
"P00480, P00216, P00270",P00383,0.21491332225124674,1.0,4.552432432432433,0.16770486272087315,inf
"P00383, P00216","P00480, P00270",0.21491332225124674,0.9988962472406181,4.64277273413934,0.16862345743168725,711.0733792448312
"P00480, P00270","P00383, P00216",0.21491332225124674,0.9988962472406181,4.64277273413934,0.16862345743168725,711.0733792448312
"P00383, P00216",P00270,0.21491332225124674,0.9988962472406181,4.56220400990265,0.16780597637527117,707.6309665162634
"P00480, P00270",P00216,0.21491332225124674,0.9988962472406181,4.56220400990265,0.16780597637527117,707.6309665162634
"P00383, P00216",P00480,0.21491332225124674,0.9988962472406181,4.552329109448315,0.16770379124321916,707.2006649251923
"P00480, P00270",P00383,0.21491332225124674,0.9988962472406181,4.547407672573235,0.16765269867719318,706.9855141296567
P00270,P00480,0.21515079553550226,0.9826464208242951,4.478272811786912,0.16710754212556692,44.98061624317286
P00216,P00383,0.21515079553550226,0.9826464208242951,4.473431435774169,0.16705554726256916,44.96693184516764
P00216,"P00383, P00270",0.21491332225124674,0.9815618221258136,4.567245119305857,0.16785797123826895,42.579406875550276
P00270,"P00480, P00216",0.21491332225124674,0.9815618221258136,4.567245119305857,0.16785797123826895,42.579406875550276
P00216,"P00480, P00383",0.21491332225124674,0.9815618221258136,4.567245119305857,0.16785797123826895,42.579406875550276
P00270,"P00383, P00480",0.21491332225124674,0.9815618221258136,4.567245119305857,0.16785797123826895,42.579406875550276
P00216,"P00480, P00383, P00270",0.21491332225124674,0.9815618221258136,4.567245119305857,0.16785797123826895,42.579406875550276
P00270,"P00383, P00480, P00216",0.21491332225124674,0.9815618221258136,4.567245119305857,0.16785797123826895,42.579406875550276
P00270,"P00383, P00216",0.21491332225124674,0.9815618221258136,4.56220400990265,0.16780597637527117,42.56652744213359
P00216,"P00480, P00270",0.21491332225124674,0.9815618221258136,4.56220400990265,0.16780597637527117,42.56652744213359
P00216,P00270,0.21491332225124674,0.9815618221258136,4.483033441401086,0.16697405856730693,42.36045650746668
P00270,P00216,0.21491332225124674,0.9815618221258136,4.483033441401086,0.16697405856730693,42.36045650746668
P00216,P00480,0.21491332225124674,0.9815618221258136,4.473329905813637,0.1668700688413114,42.334697640633316
P00270,P00383,0.21491332225124674,0.9815618221258136,4.468493873483028,0.16681807397831364,42.32181820721664
P00480,P00270,0.21515079553550226,0.9805194805194806,4.478272811786912,0.16710754212556692,40.09388110504245
P00383,P00216,0.21515079553550226,0.9794594594594594,4.473431435774169,0.16705554726256916,38.02478471171991
P00480,"P00216, P00270",0.21491332225124674,0.9794372294372294,4.557359307359308,0.16775589889333842,38.18000474946569
P00480,"P00383, P00270",0.21491332225124674,0.9794372294372294,4.557359307359308,0.16775589889333842,38.18000474946569
P00480,"P00383, P00216, P00270",0.21491332225124674,0.9794372294372294,4.557359307359308,0.16775589889333842,38.18000474946569
P00480,"P00383, P00216",0.21491332225124674,0.9794372294372294,4.552329109448315,0.16770379124321916,38.16845604869452
P00480,P00216,0.21491332225124674,0.9794372294372294,4.473329905813637,0.1668700688413114,37.98367683635591
P00480,P00383,0.21491332225124674,0.9794372294372294,4.458821808821809,0.1667137458909537,37.949030734042424
P00383,"P00216, P00270",0.21491332225124674,0.9783783783783784,4.552432432432433,0.16770486272087315,36.31025884587984
P00383,"P00480, P00216",0.21491332225124674,0.9783783783783784,4.552432432432433,0.16770486272087315,36.31025884587984
P00383,"P00480, P00216, P00270",0.21491332225124674,0.9783783783783784,4.552432432432433,0.16770486272087315,36.31025884587984
P00383,"P00480, P00270",0.21491332225124674,0.9783783783783784,4.547407672573235,0.16765269867719318,36.299275706483016
P00383,P00270,0.21491332225124674,0.9783783783783784,4.468493873483028,0.16681807397831364,36.123545476133934
P00383,P00480,0.21491332225124674,0.9783783783783784,4.458821808821809,0.1667137458909537,36.10157919734029
